"This data is provided to meet the data availability requirements for a scientific publication. Data is derived from NIH's internal datasets and from Digital Science's Dimensions Platform. Data from Digital Science is based on metadata as of March 2024 from Digital Science's Dimensions platform, available at https://app.dimensions.ai/. Access was granted under license agreement with the National Cancer Institute. Researchers interested in exploring the data further should visit the Dimensions platform website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppid,researcher_ids,n_pubs,n_nci_funded_pubs,n_nci_funded_projs,nci_role,qual_nci_appl_ids,qual_nci_projs,collab_nci_funded_only,moonshot_pi,min_moonshot_fy,moonshot_projects,med_authors_overall,avg_authors_overall,nci_pub_avg_authors,msfunded_pub_avg_authors,collab_types,n_collab_pubs,n_collab_projs,n_network_collaborators,n_network_coauthors,n_network_copis,n_ms_network_collaborators,n_ms_network_coauthors,n_ms_network_copis,n_collab_nci_docs,n_collab_nci_funded_pubs,n_collab_nci_funded_projs,n_collab_ms_docs,n_collab_msfunded_pubs,n_collab_msfunded_projs,collab_ms_funded_only,collab_post_ms
8122521,ur.01100730461.01,487,262,18,project_pi,10062479; 10066259; 10072035; 10121719; 10174856; 10310439; 10311055; 10316246; 10367792; 10411081; 10424788; 10424794; 9188065; 9237868; 9245923; 9262888; 9306787; 9330826; 9387385; 9407303; 9477615; 9503705; 9604320; 9614275; 9659674; 9659707; 9688490; 9709254; 9825529; 9830608; 9831612; 9841915; 9937691,P30CA124435; R01CA136851; R01CA182736; R01CA197329; R01CA201049; R01CA205153; R01CA218278; R01CA258553; U01CA213333,n,n,,,13,15.2,16.9,,Multiple,386,16,311,272,67,,,,260,245,15,,,,,
9372328,,0,0,12,project_pi,10098019; 10106611; 10127032; 10222022; 10260586; 10339325; 10373050; 10680624; 10687349; 10706726; 9336851; 9865210; 9898733,R01CA245313; R33CA196411; R33CA246711; U01CA260507; UG3CA257393; UH3CA257393,n,n,,,,,,,project,0,11,17,0,17,,,,9,0,9,,,,,
7776127,ur.01004503566.84,567,290,11,project_pi,10078940; 10087324; 10128390; 10169373; 10170292; 10323022; 10360649; 10406918; 10474275; 9186811; 9189686; 9207119; 9235262; 9307135; 9336851; 9398105; 9413320; 9416772; 9440351; 9492555; 9612526; 9613147; 9656941; 9688193; 9735153; 9841907; 9884553; 9920686; 9922231,P01CA108671; P50CA254838; R01CA169784; R01CA173636; R01CA216421; R33CA196411; R35CA197594; U10CA180827,n,n,,,15,15.8,18.8,,Multiple,483,11,383,381,17,,,,265,256,9,,,,,
7239627,ur.0671365336.17,469,316,21,project_pi,10075892; 10086860; 10113553; 10156494; 10203861; 10203862; 10308404; 10335750; 10339431; 10367553; 10375653; 10413937; 10413938; 10446455; 10503433; 10504826; 9266374; 9271155; 9274936; 9305768; 9333033; 9339974; 9447147; 9458718; 9463066; 9476952; 9477461; 9491225; 9491226; 9512779; 9546154; 9547332; 9640430; 9662807; 9675242; 9683866; 9688481; 9718226; 9718230; 9723042; 9830233; 9853766; 9857563; 9904563; 9917334; 9920108; 9940705; 9940708,P01CA217798; R01CA183459; R01CA195586; R01CA206444; R01CA210637; R01CA228524; R01CA247471; R01CA254036; R01CA256973; R01CA263575; R01CA273319; R01CA273349; U01CA185148; U01CA200466,n,n,,,8,10.3,10.8,,Multiple,379,16,132,130,15,,,,274,259,15,,,,,
7801339,ur.0754734542.52,182,86,11,project_pi,10003123; 10008995; 10238011; 10317707; 10428656; 10463037; 10486258; 10496926; 9221673; 9353351; 9476216; 9542281; 9745548; 9989400,R01CA260628; R33CA272321; U01CA214165; U2CCA271885; UG3CA211457; UH3CA211457,n,n,,,6,7,6.4,,Multiple,55,9,40,36,11,,,,40,32,8,,,,,
9462381,ur.01102700523.85,176,39,8,project_pi,10011778; 10018815; 10231155; 10253429; 10463887; 10486484; 9355134; 9357555; 9552121; 9567512; 9785406; 9785407; 9786056,R01CA210360; U01CA196408; U01CA214182; U2CCA271898,n,n,,,14,16.3,25.7,,Multiple,168,10,101,100,8,,,,46,38,8,,,,,
1902907,ur.0614405557.39,546,318,12,project_pi,10011759; 10011767; 10122086; 10140308; 10244924; 10244931; 10378493; 10402248; 10468780; 10468786; 9235259; 9279091; 9300713; 9310424; 9326816; 9439712; 9487494; 9487500; 9487939; 9532786; 9729382; 9762002; 9768349; 9768360; 9928400,P50CA058223; R01CA148761; R01CA195740; R01CA195754; U01CA179715; U01CA238475; U10CA181009,n,n,,,14,67.6,106.9,,Multiple,487,11,581,571,35,,,,305,294,11,,,,,
1894553,ur.0740055625.69,848,314,9,project_pi,10023861; 10023866; 10062900; 10126148; 10131162; 10203838; 10203843; 10212273; 10226133; 10304886; 10377501; 10415041; 10467006; 10489252; 10489261; 9252446; 9319655; 9387223; 9456687; 9531280; 9537425; 9671847; 9745547; 9752955; 9794679; 9885320; 9890784; 9941352; 9974992; 9997826; 9997878,P30CA016672; P50CA070907; R01CA190628; R01CA205150; R01CA234183; R01CA247975; U01CA213273; U01CA256780,n,n,,,15.5,17.1,21.5,,Multiple,786,8,369,349,47,,,,306,298,8,,,,,
1877626,ur.01212722003.04,110,54,14,project_pi,10006525; 10006559; 10227921; 10246842; 10249136; 10290159; 10469596; 10478277; 10493256; 9118941; 9237209; 9387310; 9447129; 9462438; 9523403; 9554817; 9561979; 9598132; 9676896; 9751213; 9754049; 9823763; 9823800; 9978741; 9982221; 9988714,P20CA242619; P20CA242620; P20CA252717; R01CA192914; R01CA220693; U01CA189283,n,n,,,6,9,9.7,,Multiple,72,12,92,75,31,,,,53,42,11,,,,,
2090001,ur.07665036507.94,126,55,11,project_pi,10017879; 10017914; 10247627; 10247662; 10249985; 10333797; 10333798; 10391719; 10436369; 10475836; 10475842; 9257193; 9329276; 9359400; 9489069; 9518212; 9535729; 9618212; 9687586; 9762064; 9784074; 9784654; 9791782; 9791784; 9837558; 9837585; 9837612; 9963722; 9969350,P01CA165997; P01CA257904; P30CA016520; R01CA182747; R01CA219871; R01CA268597,n,n,,,9.5,30.4,57.3,,Multiple,97,9,223,208,33,,,,57,48,9,,,,,
