,This is public NIH award data requested using the NIH RePORTER API on 3/13/25. ,,
,appl_id,project_serial_num,fiscal_year
0,11258303,CA198279,2024
1,11129255,CA240965,2024
2,11235240,CA288820,2024
3,11081387,CA238335,2024
4,10798495,CA278908,2024
5,10981756,CA287374,2024
6,10983413,CA298785,2024
7,10841821,CA290675,2024
8,10977964,CA285792,2024
9,10979322,CA294071,2024
10,10981894,CA286120,2024
11,10980567,CA285369,2024
12,10879288,CA278889,2024
13,10980839,CA240713,2024
14,10779323,CA286069,2024
15,11007953,CA288235,2024
16,10942344,CA293091,2024
17,10857881,CA289631,2024
18,10979741,CA285959,2024
19,10976544,CA295130,2024
20,10803318,CA279962,2024
21,10982172,CA286505,2024
22,10981500,CA287360,2024
23,10857089,CA289249,2024
24,11063449,CA297856,2024
25,10945877,CA293922,2024
26,10780213,CA286051,2024
27,10981700,CA286609,2024
28,10976123,CA287731,2024
29,10905698,CA290828,2024
30,10857995,CA289514,2024
31,10942065,CA292382,2024
32,10854083,CA289553,2024
33,10979697,CA293942,2024
34,10952766,CA292971,2024
35,10946156,CA292783,2024
36,10978430,CA284082,2024
37,10951059,CA287721,2024
38,10940536,CA292236,2024
39,10793009,CA287257,2024
40,10898319,CA287491,2024
41,10800311,CA278939,2024
42,10942996,CA292900,2024
43,10855481,CA289551,2024
44,10881117,CA279679,2024
45,10850238,CA275767,2024
46,10774776,CA285336,2024
47,10882230,CA283687,2024
48,10979489,CA294033,2024
49,10917488,CA300848,2024
50,10936438,CA293229,2024
51,10973062,CA293596,2024
52,10981973,CA286563,2024
53,10973013,CA293996,2024
54,10945367,CA294004,2024
55,10951361,CA285216,2024
56,10980175,CA269651,2024
57,11020542,CA291437,2024
58,11170140,CA169702,2023
59,11134809,CA253923,2024
60,11119458,CA279487,2024
61,10799827,CA276771,2024
62,10827063,CA281216,2024
63,10781018,CA286117,2024
64,10859933,CA289812,2024
65,10902514,CA290813,2024
66,10882206,CA282501,2024
67,10979302,CA285576,2024
68,10981537,CA286650,2024
69,10996851,CA294646,2024
70,10998056,CA294704,2024
71,11123699,CA259111,2024
72,11062237,CA251478,2024
73,10852678,CA288651,2024
74,11044387,CA262788,2023
75,10979021,CA282475,2024
76,10942010,CA292932,2024
77,10937615,CA291888,2024
78,10981743,CA283394,2024
79,10942723,CA292482,2024
80,10982139,CA286147,2024
81,10938752,CA281885,2024
82,10942153,CA292507,2024
83,10936380,CA291735,2024
84,10942200,CA292376,2024
85,10940080,CA291761,2024
86,10977574,CA285482,2024
